Phone Number,Call Time,Call Type,Call Status,Call Duration (minutes)
+1-630-285-4027x60844,2024-12-26 21:49:00,Inbound,Answered,5.783333333333333
001-258-235-3916x696,2024-12-26 03:48:00,Inbound,Missed,8.216666666666667
+1-835-802-0819,2024-12-26 00:51:00,Inbound,Answered,6.25
731-635-5569x394,2024-12-26 09:23:00,Inbound,Answered,6.933333333333334
001-427-756-4627x188,2024-12-26 08:21:00,Inbound,Missed,8.6
6268606056,2024-12-26 07:37:00,Inbound,Missed,2.75
883.924.2925x95333,2024-12-26 04:45:00,Inbound,Answered,2.85
(266)381-5117,2024-12-26 03:29:00,Inbound,Answered,9.1
(915)797-0877x317,2024-12-26 23:05:00,Inbound,Missed,8.35
380.548.8822,2024-12-26 18:36:00,Inbound,Answered,8.166666666666666
+1-999-823-6640,2024-12-26 02:58:00,Inbound,Answered,8.15
+1-690-737-4334x976,2024-12-26 20:09:00,Inbound,Answered,3.033333333333333
707.596.6697x317,2024-12-26 14:24:00,Inbound,Answered,6.05
(349)282-9209x09099,2024-12-26 01:05:00,Inbound,Answered,2.0166666666666666
001-393-543-8404x2913,2024-12-26 01:01:00,Inbound,Answered,7.483333333333333
001-895-941-6141x00444,2024-12-26 03:11:00,Inbound,Answered,7.1
+1-776-385-5427x1125,2024-12-26 07:27:00,Inbound,Answered,4.466666666666667
001-565-309-5743x913,2024-12-26 07:56:00,Inbound,Missed,7.233333333333333
(362)267-4741,2024-12-26 17:14:00,Inbound,Answered,6.283333333333333
001-755-770-3640x353,2024-12-26 20:32:00,Inbound,Answered,9.716666666666667
763.788.9528,2024-12-26 00:54:00,Inbound,Answered,1.2666666666666666
687-577-9950x59494,2024-12-26 19:09:00,Inbound,Answered,8.05
921-394-6826,2024-12-26 06:47:00,Inbound,Answered,5.233333333333333
782.833.1061x500,2024-12-26 22:10:00,Inbound,Answered,2.0
4923983536,2024-12-26 23:56:00,Inbound,Missed,3.316666666666667
372.515.1614x71759,2024-12-26 18:36:00,Inbound,Answered,0.9166666666666666
804-541-6883x682,2024-12-26 14:19:00,Inbound,Answered,5.766666666666667
495-953-1878,2024-12-26 07:31:00,Inbound,Missed,2.6
617.533.7421x58783,2024-12-26 15:19:00,Inbound,Answered,1.95
+1-729-802-5686x888,2024-12-26 20:06:00,Inbound,Answered,3.783333333333333
659.811.2842,2024-12-26 09:29:00,Inbound,Missed,9.733333333333333
(546)867-8920x0817,2024-12-26 00:13:00,Inbound,Answered,1.4
(609)219-4491x65510,2024-12-26 05:26:00,Inbound,Missed,9.4
+1-924-448-4296,2024-12-26 23:49:00,Inbound,Answered,3.716666666666667
647-264-7072x67622,2024-12-26 14:25:00,Inbound,Answered,8.616666666666667
(975)288-2317x70252,2024-12-26 11:36:00,Inbound,Answered,9.066666666666666
001-318-780-8475x02949,2024-12-26 09:29:00,Inbound,Answered,0.8166666666666667
(965)446-6652x913,2024-12-26 05:18:00,Inbound,Missed,2.55
(668)248-5385x5411,2024-12-26 07:20:00,Inbound,Missed,9.566666666666666
001-500-572-5080x93165,2024-12-26 11:29:00,Inbound,Answered,3.566666666666667
(369)618-2958,2024-12-26 03:29:00,Inbound,Answered,0.8166666666666667
392-898-9007,2024-12-26 03:09:00,Inbound,Answered,5.183333333333334
001-898-376-9132x18964,2024-12-26 12:58:00,Inbound,Answered,4.0
001-376-745-1952x35127,2024-12-26 03:18:00,Inbound,Answered,4.683333333333334
977.286.6615x7796,2024-12-26 12:15:00,Inbound,Answered,8.066666666666666
+1-721-697-1598x4094,2024-12-26 11:44:00,Inbound,Answered,1.9333333333333333
358.217.9749,2024-12-26 20:36:00,Inbound,Missed,9.6
(803)575-1157,2024-12-26 09:01:00,Inbound,Answered,5.966666666666667
891.497.3508x520,2024-12-26 01:28:00,Inbound,Answered,7.35
353-718-9501x045,2024-12-26 15:40:00,Inbound,Missed,1.2666666666666666
(611)294-1526x206,2024-12-26 18:18:00,Inbound,Answered,8.883333333333333
885-459-6154x592,2024-12-26 04:15:00,Inbound,Answered,0.8833333333333333
287-926-0280,2024-12-26 12:55:00,Inbound,Answered,6.3
001-227-913-9129x4874,2024-12-26 02:41:00,Inbound,Answered,7.95
+1-446-755-6628x059,2024-12-26 18:50:00,Inbound,Answered,3.566666666666667
394.374.3581x9583,2024-12-26 10:00:00,Inbound,Answered,7.566666666666666
772.586.9482x93467,2024-12-26 21:27:00,Inbound,Missed,0.9
+1-317-290-4569x965,2024-12-26 21:06:00,Inbound,Answered,9.5
675.283.6441x55283,2024-12-26 12:20:00,Inbound,Answered,5.9
(674)216-0313,2024-12-26 19:42:00,Inbound,Answered,7.016666666666667
935.678.7216x61547,2024-12-26 06:33:00,Inbound,Missed,4.883333333333334
975-921-9034,2024-12-26 02:22:00,Inbound,Answered,2.05
+1-777-882-5293x9678,2024-12-26 01:33:00,Inbound,Answered,2.45
+1-947-366-6638,2024-12-26 22:34:00,Inbound,Answered,2.183333333333333
459.413.9527,2024-12-26 07:46:00,Inbound,Answered,9.733333333333333
+1-953-259-9774x907,2024-12-26 09:52:00,Inbound,Missed,3.3666666666666667
(427)338-6618,2024-12-26 02:43:00,Inbound,Answered,5.366666666666666
(408)652-4259x226,2024-12-26 07:56:00,Inbound,Answered,2.95
685.515.1427,2024-12-26 03:26:00,Inbound,Answered,3.6166666666666667
912-206-2329x91297,2024-12-26 12:58:00,Inbound,Answered,4.85
+1-974-500-3590x6379,2024-12-26 09:29:00,Inbound,Answered,2.0166666666666666
+1-608-578-8258x49016,2024-12-26 15:28:00,Inbound,Answered,3.1166666666666667
+1-463-844-2563x3802,2024-12-26 21:41:00,Inbound,Answered,5.733333333333333
(566)462-0295x78798,2024-12-26 12:27:00,Inbound,Answered,7.45
+1-495-230-2566x158,2024-12-26 05:33:00,Inbound,Answered,3.3833333333333333
+1-428-252-0546,2024-12-26 12:38:00,Inbound,Answered,1.5
513-969-6353,2024-12-26 12:07:00,Inbound,Missed,6.05
(982)798-1126x8845,2024-12-26 07:09:00,Inbound,Answered,3.5833333333333335
001-639-536-0385,2024-12-26 22:52:00,Inbound,Answered,0.95
+1-596-350-3801,2024-12-26 09:06:00,Inbound,Missed,1.4833333333333334
(454)682-4050x5200,2024-12-26 23:57:00,Inbound,Answered,5.583333333333333
